stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
35,GRO,Haas F1 Team,MEDIUM,2.0,28.0,64.0,34,75.673,74.174,73.619
36,STR,Racing Point,SOFT,1.0,1.0,27.0,27,75.791,75.336,74.999
37,HUL,Renault,MEDIUM,1.0,1.0,26.0,26,75.88,75.429,75.103
38,STR,Racing Point,SOFT,3.0,57.0,65.0,8,75.971,75.203,72.603
39,KVY,Toro Rosso,MEDIUM,1.0,1.0,22.0,22,76.023,75.507,75.188
40,PER,Racing Point,SOFT,1.0,1.0,16.0,16,76.048,75.362,74.825
41,KUB,Williams,MEDIUM,2.0,22.0,35.0,14,76.196,76.262,75.286
42,RUS,Williams,SOFT,3.0,56.0,65.0,10,76.242,75.162,73.752
43,KUB,Williams,SOFT,4.0,55.0,64.0,9,76.305,76.256,74.553
44,MAG,Haas F1 Team,SOFT,1.0,1.0,26.0,24,76.351,75.521,75.112
45,HAM,Mercedes,MEDIUM,3.0,45.0,65.0,18,76.635,71.7,71.082
46,RIC,Renault,MEDIUM,1.0,1.0,7.0,7,76.904,76.138,75.028
47,SAI,McLaren,MEDIUM,2.0,31.0,71.0,37,76.968,73.987,73.158
48,KUB,Williams,HARD,3.0,38.0,51.0,14,77.152,76.525,75.527
49,RUS,Williams,MEDIUM,1.0,1.0,22.0,22,77.33,76.875,76.121
50,KUB,Williams,MEDIUM,1.0,1.0,19.0,19,77.368,76.878,76.016
51,RIC,Renault,SOFT,3.0,42.0,71.0,26,77.781,73.741,72.733
52,KUB,Williams,SOFT,5.0,69.0,70.0,2,77.782,77.782,75.966
53,HUL,Renault,SOFT,4.0,55.0,71.0,13,78.015,75.754,72.934
54,NOR,McLaren,MEDIUM,3.0,56.0,71.0,13,78.562,75.464,72.328
55,MAG,Haas F1 Team,SOFT,3.0,55.0,71.0,13,78.762,75.968,73.262
56,PER,Racing Point,SOFT,3.0,47.0,71.0,21,79.222,74.625,72.84
57,GAS,Toro Rosso,SOFT,3.0,49.0,71.0,19,79.372,75.25,72.425
58,GIO,Alfa Romeo Racing,SOFT,3.0,48.0,71.0,20,79.381,74.44,73.02
59,VET,Ferrari,SOFT,3.0,51.0,65.0,12,79.492,72.048,71.384
60,KVY,Toro Rosso,SOFT,3.0,48.0,71.0,20,79.525,75.544,72.385
61,RAI,Alfa Romeo Racing,SOFT,3.0,49.0,71.0,19,79.639,74.867,73.135
62,ALB,Red Bull Racing,SOFT,3.0,52.0,71.0,16,82.58,75.544,71.087
63,VER,Red Bull Racing,SOFT,4.0,58.0,71.0,12,82.616,71.393,70.862
64,GRO,Haas F1 Team,SOFT,3.0,67.0,71.0,4,84.562,82.136,74.505
65,HAM,Mercedes,SOFT,4.0,68.0,71.0,3,87.787,75.616,72.097
