Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsAccurate,TrackStatus,Deleted,DeletedReason,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds
PIA,81,McLaren,9,0 days 00:01:19.808000,3.0,,,0 days 00:00:26.434000,0 days 00:00:26.822000,0 days 00:00:26.552000,325.0,337.0,314.0,346.0,SOFT,2.0,True,True,1,,,79.808,26.434,26.822,26.552
PIA,81,McLaren,10,0 days 00:01:52.538000,3.0,,0 days 00:46:25.679000,0 days 00:00:35.569000,0 days 00:00:36.442000,0 days 00:00:40.527000,265.0,266.0,,199.0,SOFT,3.0,True,False,1,,,112.538,35.569,36.442,40.527
PIA,81,McLaren,11,,4.0,0 days 00:50:36.759000,,,0 days 00:00:36.614000,0 days 00:00:32.091000,266.0,312.0,316.0,258.0,SOFT,4.0,False,False,1,,,,,36.614,32.091
PIA,81,McLaren,12,0 days 00:01:19.845000,4.0,,,0 days 00:00:26.399000,0 days 00:00:26.847000,0 days 00:00:26.599000,327.0,339.0,317.0,348.0,SOFT,5.0,False,True,1,,,79.845,26.399,26.847,26.599
PIA,81,McLaren,13,0 days 00:01:53.795000,4.0,,0 days 00:55:28.517000,0 days 00:00:38.419000,0 days 00:00:36.985000,0 days 00:00:38.391000,141.0,279.0,,237.0,SOFT,6.0,False,False,1,,,113.795,38.419,36.985,38.391
PIA,81,McLaren,14,,5.0,0 days 01:03:31.114000,,,0 days 00:00:34.881000,0 days 00:00:31.082000,268.0,313.0,315.0,149.0,SOFT,1.0,True,False,1,,,,,34.881,31.082
PIA,81,McLaren,15,0 days 00:01:19.436000,5.0,,,0 days 00:00:26.407000,0 days 00:00:26.643000,0 days 00:00:26.386000,323.0,337.0,315.0,345.0,SOFT,2.0,True,True,1,,,79.436,26.407,26.643,26.386
PIA,81,McLaren,16,0 days 00:01:45.672000,5.0,,0 days 01:08:36.311000,0 days 00:00:33.304000,0 days 00:00:34.940000,0 days 00:00:37.428000,253.0,267.0,,236.0,SOFT,3.0,True,False,1,,,105.672,33.304,34.94,37.428
PIA,81,McLaren,17,,6.0,0 days 01:12:03.721000,,,0 days 00:00:35.997000,0 days 00:00:30.212000,279.0,313.0,317.0,146.0,SOFT,1.0,True,False,1,,,,,35.997,30.212
PIA,81,McLaren,18,0 days 00:01:19.661000,6.0,,,0 days 00:00:26.439000,0 days 00:00:26.796000,0 days 00:00:26.426000,324.0,338.0,314.0,346.0,SOFT,2.0,True,True,1,,,79.661,26.439,26.796,26.426
