Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsAccurate,TrackStatus,Deleted,DeletedReason,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds
HAM,44,Mercedes,16,,5.0,0 days 00:56:22.349000,,,0 days 00:00:39.147000,0 days 00:00:32.406000,305.0,247.0,253.0,156.0,SOFT,1.0,True,False,1,,,,,39.147,32.406
HAM,44,Mercedes,17,0 days 00:01:26.770000,5.0,,,0 days 00:00:28.224000,0 days 00:00:34.921000,0 days 00:00:23.625000,311.0,266.0,250.0,320.0,SOFT,2.0,True,True,1,,,86.77,28.224,34.921,23.625
HAM,44,Mercedes,18,0 days 00:02:07.294000,5.0,,,0 days 00:00:35.282000,0 days 00:00:53.260000,0 days 00:00:38.752000,216.0,233.0,248.0,282.0,SOFT,3.0,True,True,1,,,127.294,35.282,53.26,38.752
HAM,44,Mercedes,19,0 days 00:01:35.876000,5.0,,0 days 01:03:11.804000,0 days 00:00:28.374000,0 days 00:00:39.110000,0 days 00:00:28.392000,316.0,217.0,,256.0,SOFT,4.0,True,False,1,,,95.876,28.374,39.11,28.392
HAM,44,Mercedes,20,,6.0,0 days 01:11:56.239000,,,0 days 00:00:42.938000,0 days 00:00:28.231000,277.0,243.0,254.0,302.0,SOFT,1.0,True,False,1,,,,,42.938,28.231
HAM,44,Mercedes,21,0 days 00:01:26.196000,6.0,,,0 days 00:00:27.918000,0 days 00:00:34.844000,0 days 00:00:23.434000,312.0,266.0,251.0,320.0,SOFT,2.0,True,True,1,,,86.196,27.918,34.844,23.434
HAM,44,Mercedes,22,0 days 00:01:36.020000,6.0,,0 days 01:16:47.625000,0 days 00:00:31.508000,0 days 00:00:38.992000,0 days 00:00:25.520000,268.0,253.0,,305.0,SOFT,3.0,True,False,1,,,96.02,31.508,38.992,25.52
HAM,44,Mercedes,23,,7.0,0 days 01:19:30.098000,,,0 days 00:00:43.203000,0 days 00:00:26.227000,258.0,246.0,255.0,304.0,SOFT,1.0,True,False,1,,,,,43.203,26.227
HAM,44,Mercedes,24,0 days 00:01:25.990000,7.0,,,0 days 00:00:27.990000,0 days 00:00:34.618000,0 days 00:00:23.382000,312.0,269.0,249.0,322.0,SOFT,2.0,True,True,1,,,85.99,27.99,34.618,23.382
HAM,44,Mercedes,25,,7.0,,0 days 01:24:38.231000,0 days 00:00:36.618000,0 days 00:00:47.403000,,210.0,214.0,,240.0,SOFT,3.0,True,False,1,,,,36.618,47.403,
NOR,4,McLaren,1,,1.0,0 days 00:14:34.536000,,,0 days 00:00:46.187000,0 days 00:00:37.196000,273.0,237.0,223.0,283.0,INTERMEDIATE,1.0,True,False,1,,,,,46.187,37.196
