year,round,event_id,event_name,driver,driver_number,driver_name,team,position,q1,q2,q3
2010,4,2010-shanghai,Chinese Grand Prix,MSC,3,Michael Schumacher,Mercedes,9,0 days 00:01:36.484000,0 days 00:01:35.715000,0 days 00:01:35.646000
2010,4,2010-shanghai,Chinese Grand Prix,SUT,14,Adrian Sutil,Force India,10,0 days 00:01:36.671000,0 days 00:01:35.665000,0 days 00:01:35.963000
2010,4,2010-shanghai,Chinese Grand Prix,BAR,9,Rubens Barrichello,Williams,11,0 days 00:01:36.664000,0 days 00:01:35.748000,
2010,4,2010-shanghai,Chinese Grand Prix,ALG,17,Jaime Alguersuari,Toro Rosso,12,0 days 00:01:36.618000,0 days 00:01:36.047000,
2010,4,2010-shanghai,Chinese Grand Prix,BUE,16,Sébastien Buemi,Toro Rosso,13,0 days 00:01:36.793000,0 days 00:01:36.149000,
2010,4,2010-shanghai,Chinese Grand Prix,PET,12,Vitaly Petrov,Renault,14,0 days 00:01:37.031000,0 days 00:01:36.311000,
2010,4,2010-shanghai,Chinese Grand Prix,KOB,23,Kamui Kobayashi,Sauber,15,0 days 00:01:37.044000,0 days 00:01:36.422000,
2010,4,2010-shanghai,Chinese Grand Prix,HUL,10,Nico Hülkenberg,Williams,16,0 days 00:01:37.049000,0 days 00:01:36.647000,
2010,4,2010-shanghai,Chinese Grand Prix,DLR,22,Pedro de la Rosa,Sauber,17,0 days 00:01:37.050000,0 days 00:01:37.020000,
2010,4,2010-shanghai,Chinese Grand Prix,LIU,15,Vitantonio Liuzzi,Force India,18,0 days 00:01:37.161000,,
2010,4,2010-shanghai,Chinese Grand Prix,GLO,24,Timo Glock,Virgin,19,0 days 00:01:39.278000,,
2010,4,2010-shanghai,Chinese Grand Prix,TRU,18,Jarno Trulli,Lotus,20,0 days 00:01:39.399000,,
2010,4,2010-shanghai,Chinese Grand Prix,KOV,19,Heikki Kovalainen,Lotus,21,0 days 00:01:39.520000,,
2010,4,2010-shanghai,Chinese Grand Prix,DIG,25,Lucas di Grassi,Virgin,22,0 days 00:01:39.783000,,
2010,4,2010-shanghai,Chinese Grand Prix,SEN,21,Bruno Senna,HRT,23,0 days 00:01:40.469000,,
2010,4,2010-shanghai,Chinese Grand Prix,CHA,20,Karun Chandhok,HRT,24,0 days 00:01:40.578000,,
2010,5,2010-barcelona,Spanish Grand Prix,WEB,6,Mark Webber,Red Bull,1,0 days 00:01:21.412000,0 days 00:01:20.655000,0 days 00:01:19.995000
2010,5,2010-barcelona,Spanish Grand Prix,VET,5,Sebastian Vettel,Red Bull,2,0 days 00:01:21.680000,0 days 00:01:20.772000,0 days 00:01:20.101000
2010,5,2010-barcelona,Spanish Grand Prix,HAM,2,Lewis Hamilton,McLaren,3,0 days 00:01:21.723000,0 days 00:01:21.415000,0 days 00:01:20.829000
2010,5,2010-barcelona,Spanish Grand Prix,ALO,8,Fernando Alonso,Ferrari,4,0 days 00:01:21.957000,0 days 00:01:21.549000,0 days 00:01:20.937000
2010,5,2010-barcelona,Spanish Grand Prix,BUT,1,Jenson Button,McLaren,5,0 days 00:01:21.915000,0 days 00:01:21.168000,0 days 00:01:20.991000
2010,5,2010-barcelona,Spanish Grand Prix,MSC,3,Michael Schumacher,Mercedes,6,0 days 00:01:22.528000,0 days 00:01:21.557000,0 days 00:01:21.294000
2010,5,2010-barcelona,Spanish Grand Prix,KUB,11,Robert Kubica,Renault,7,0 days 00:01:22.488000,0 days 00:01:21.599000,0 days 00:01:21.353000
